code,en_name,en_simp,cn_name,cn_simp
0050,australiannationaluniversity,anu,澳洲国立大学,澳洲国立
0051,"universityofwisconsin,madison",uowm,威斯康辛大学麦迪逊分校,威斯康辛麦迪逊分校
0052,washingtonuniversityinstlouis,wuisl,圣路易斯华盛顿大学,圣路易斯华盛顿
0053,brownuniversity,bu,布朗大学,布朗
0054,universityofnorthcarolinaatchapelhill,uoncach,北卡罗来纳大学教堂山分校,北卡罗来纳教堂山分校
0055,"universityofcalifornia,davis",uocd,加州大学戴维斯分校,加州戴维斯分校
0056,universityofmanchester,uom,曼彻斯特大学,曼彻斯特
0057,"universityofcalifornia,santabarbara",uocsb,加州大学圣塔芭芭拉分校,加州圣塔芭芭拉分校
0058,chineseuniversityofhongkong,cuohk,香港中文大学,香港中文
0059,wageningenuniversity&research,wu&r,万格宁根大学,万格宁根
0060,universityofsydney,uos,悉尼大学,悉尼
0061,bostonuniversity,bu,波士顿大学,波士顿
0062,universityofamsterdam,uoa,阿姆斯特丹大学,阿姆斯特丹
0063,universityofsoutherncalifornia,uosc,南加州大学,南加州
0064,seoulnationaluniversity,snu,首尔国立大学,首尔国立
0065,kyotouniversity,ku,京都大学,京都
0066,universityofqueensland,uoq,昆士兰大学,昆士兰
0067,delftuniversityoftechnology,duot,代尔夫特理工大学,代尔夫特理工
0068,leidenuniversity,lu,莱顿大学,莱顿
0069,erasmusuniversityrotterdam,eur,伊拉斯姆斯大学,伊拉斯姆斯
0070,ohiostateuniversity(maincampus),osu(c,俄亥俄州立大学,俄亥俄州立
0071,unswsydney,us,新南威尔士大学,新南威尔士
0072,mcmasteruniversity,mu,麦克马斯特大学,麦克马斯特
0073,universityofgroningen,uog,格罗宁根大学,格罗宁根
0074,humboldtuniversityofberlin,huob,柏林洪堡大学,柏林洪堡
0075,monashuniversity,mu,莫纳什大学,莫纳什
0076,utrechtuniversity,uu,乌得勒支大学,乌得勒支
0077,universityofwarwick,uow,华威大学,华威
0078,pennstate(maincampus),ps(c,宾州州立大学公园分校,宾州州立公园分校
0079,universityofminnesota,uom,明尼苏达大学双城分校,明尼苏达双城分校
0080,"charité, universitätsmedizinberlin","c,ub",柏林查理特医科大学,柏林查理特医科
0081,emoryuniversity,eu,艾茉莉大学,艾茉莉
0082,universityofscienceandtechnologyofchina,uosatoc,中国科学技术大学,中国科学技术
0083,sorbonneuniversity,su,索邦大学,索邦
0084,michiganstateuniversity,msu,密歇根州立大学,密歇根州立
0085,universityofmontreal,uom,蒙特利尔大学,蒙特利尔
0086,universityoffreiburg,uof,弗莱堡大学,弗莱堡
0087,universityofbristol,uob,布里斯托大学,布里斯托
0088,purdueuniversitywestlafayette,puwl,普渡大学西拉法叶分校,普渡西拉法叶分校
0089,sungkyunkwanuniversity(skku),su(,成均馆大学,成均馆
0090,universityofzurich,uoz,苏黎世大学,苏黎世
0091,"universityofmaryland,collegepark",uomcp,马里兰大学学院公园分校,马里兰公园分校
0092,universityoftübingen,uot,蒂宾根大学,蒂宾根
0093,écolepolytechnique,ép,巴黎高等理工学院,巴黎高等理工
0094,universityofbasel,uob,巴塞尔大学,巴塞尔
0095,dartmouthcollege,dc,达特茅斯学院,达特茅斯
0096,"universityofcalifornia,irvine",uoci,加州大学尔湾分校,加州尔湾分校
0097,universityofhelsinki,uoh,赫尔辛基大学,赫尔辛基
0098,lunduniversity,lu,隆德大学,隆德
0099,universityofglasgow,uog,格拉斯哥大学,格拉斯哥
0100,rwthaachenuniversity,rau,亚琛工业大学,亚琛工业
0101,universityofcopenhagen,uoc,哥本哈根大学,哥本哈根
0102,georgetownuniversity,gu,乔治敦大学,乔治敦
0103,uppsalauniversity,uu,乌普萨拉大学,乌普萨拉
0104,universityofarizona,uoa,亚利桑那大学,亚利桑那
0105,universityofbonn,uob,波恩大学,波恩
0106,riceuniversity,ru,莱斯大学,莱斯
0107,universityofvirginia(maincampus),uov(c,弗吉尼亚大学,弗吉尼亚
0108,zhejianguniversity,zu,浙江大学,浙江
0109,fudanuniversity,fu,复旦大学,复旦
0110,koreaadvancedinstituteofscienceandtechnology(kaist),kaiosat(,韩国高等科技学院,韩国高等科技
0111,queenmaryuniversityoflondon,qmuol,伦敦大学玛丽女王学院,伦敦玛丽女王
0112,universityofbirmingham,uob,伯明翰大学,伯明翰
0113,universityofbern,uob,伯尔尼大学,伯尔尼
0114,"universityofpittsburgh,pittsburghcampus",uoppc,匹兹堡大学,匹兹堡
0115,aarhusuniversity,au,奥胡斯大学,奥胡斯
0116,vanderbiltuniversity,vu,范德堡大学,范德堡
0117,freeuniversityofberlin,fuob,柏林自由大学,柏林自由
0118,universityofsheffield,uos,谢菲尔德大学,谢菲尔德
0119,casewesternreserveuniversity,cwru,凯斯西储大学,凯斯西储
0120,universityofadelaide,uoa,阿德雷德大学,阿德雷德
0121,nationaltaiwanuniversity,ntu,国立台湾大学,国立台湾
0122,universityofsouthampton,uos,南安普敦大学,南安普敦
0123,ghentuniversity,gu,根特大学,根特
0124,universityofcoloradoboulder,uocb,科罗拉多大学博尔德分校,科罗拉多博尔德分校
0125,universityofgöttingen,uog,哥廷根大学,哥廷根
0126,cityuniversityofhongkong,cuohk,香港城市大学,香港城市
0127,maastrichtuniversity,mu,马斯特里赫特大学,马斯特里赫特
0128,radbouduniversitynijmegen,run,奈梅亨大学,奈梅亨
0129,universityofyork,uoy,约克大学（英国）,约克（英国）
0130,universityofparis,uop,巴黎大学,巴黎
0131,universityofoslo,uoo,奥斯陆大学,奥斯陆
0132,universityofwesternaustralia,uowa,西澳大学,西澳
0133,durhamuniversity,du,杜伦大学,杜伦
0134,indianauniversity,iu,印第安纳大学伯明顿分校,印第安纳伯明顿分校
0135,universityofvienna,uov,维也纳大学,维也纳
0136,universityofalberta,uoa,阿尔伯塔大学,阿尔伯塔
